customer_id,division_name,district_name,farm_size_acres,customer_segment,crop_type,signup_date,acquisition_channel,district_id,division_id
C00001,Barishal,Bhola,0.98,Smallholder (<2 acre),Vegetables,2025-11-22,SMS Campaign,DT022,D06
C00002,Khulna,Jashore,0.55,Smallholder (<2 acre),Vegetables,2025-06-28,Organic Search,DT010,D03
C00003,Chattogram,Comilla,1.99,Smallholder (<2 acre),Jute,2025-12-27,Referral/NGO Partner,DT025,D07
C00004,Dhaka,Narayanganj,1.61,Smallholder (<2 acre),Mustard,2025-04-19,Direct,DT018,D05
C00005,Rajshahi,Natore,5.48,Large (>5 acre),Jute,2025-03-16,YouTube,DT004,D01
C00006,Sylhet,Moulvibazar,3.17,Medium (2-5 acre),Maize,2025-12-19,Field Dealer Network,DT028,D08
C00007,Barishal,Bhola,2.1,Medium (2-5 acre),Potato,2025-03-13,Field Dealer Network,DT022,D06
C00008,Barishal,Barishal,1.38,Smallholder (<2 acre),Wheat,2026-02-06,SMS Campaign,DT020,D06
C00009,Rajshahi,Pabna,3.04,Medium (2-5 acre),Potato,2025-12-29,Facebook Ads,DT003,D01
C00010,Mymensingh,Netrokona,2.34,Medium (2-5 acre),Jute,2025-06-14,Facebook Ads,DT015,D04
C00011,Khulna,Satkhira,1.77,Smallholder (<2 acre),Rice (Aman),2025-04-27,Organic Search,DT011,D03
C00012,Chattogram,Cox'S Bazar,3.42,Medium (2-5 acre),Potato,2025-01-07,Facebook Ads,DT024,D07
C00013,Dhaka,Narayanganj,0.99,Smallholder (<2 acre),Wheat,2026-01-05,SMS Campaign,DT018,D05
C00014,Chattogram,Comilla,1.58,Smallholder (<2 acre),Mustard,2025-10-29,Field Dealer Network,DT025,D07
C00015,Mymensingh,Netrokona,1.6,Smallholder (<2 acre),Potato,2025-02-09,Field Dealer Network,DT015,D04
C00016,Rangpur,Dinajpur,3.61,Medium (2-5 acre),Vegetables,2025-08-07,Organic Search,DT006,D02
C00017,Mymensingh,Netrokona,3.12,Medium (2-5 acre),Maize,2025-04-19,SMS Campaign,DT015,D04
C00018,Rajshahi,Natore,3.3,Medium (2-5 acre),Mustard,2025-02-27,Facebook Ads,DT004,D01
C00019,Chattogram,Feni,1.52,Smallholder (<2 acre),Mustard,2025-10-21,Facebook Ads,DT026,D07
C00020,Dhaka,Narayanganj,0.39,Smallholder (<2 acre),Rice (Aman),2025-04-15,YouTube,DT018,D05
C00021,Barishal,Bhola,0.49,Smallholder (<2 acre),Wheat,2025-07-14,Organic Search,DT022,D06
C00022,Khulna,Khulna,1.63,Smallholder (<2 acre),Maize,2025-04-20,Organic Search,DT009,D03
C00023,Sylhet,Sylhet,0.64,Smallholder (<2 acre),Tea,2025-11-25,Direct,DT027,D08
C00024,Chattogram,Comilla,3.08,Medium (2-5 acre),Wheat,2025-05-09,SMS Campaign,DT025,D07
C00025,Barishal,Barishal,1.82,Smallholder (<2 acre),Maize,2025-10-22,Organic Search,DT020,D06
C00026,Rangpur,Kurigram,3.72,Medium (2-5 acre),Mustard,2025-01-03,Organic Search,DT007,D02
C00027,Mymensingh,Mymensingh,2.73,Medium (2-5 acre),Vegetables,2026-03-11,Facebook Ads,DT013,D04
C00028,Rajshahi,Bogura,0.2,Smallholder (<2 acre),Rice (Aman),2025-12-28,Field Dealer Network,DT002,D01
C00029,Rajshahi,Rajshahi,0.47,Smallholder (<2 acre),Potato,2025-07-30,Referral/NGO Partner,DT001,D01
C00030,Dhaka,Dhaka,2.55,Medium (2-5 acre),Rice (Aman),2026-04-21,Facebook Ads,DT016,D05
C00031,Barishal,Bhola,1.76,Smallholder (<2 acre),Wheat,2026-04-26,Field Dealer Network,DT022,D06
C00032,Sylhet,Sylhet,1.42,Smallholder (<2 acre),Tea,2025-04-08,SMS Campaign,DT027,D08
C00033,Khulna,Khulna,1.34,Smallholder (<2 acre),Vegetables,2026-03-16,Facebook Ads,DT009,D03
C00034,Khulna,Jashore,1.03,Smallholder (<2 acre),Rice (Aman),2025-05-14,Facebook Ads,DT010,D03
C00035,Mymensingh,Jamalpur,2.33,Medium (2-5 acre),Rice (Boro),2026-02-14,Referral/NGO Partner,DT014,D04
C00036,Rangpur,Rangpur,4.06,Medium (2-5 acre),Maize,2025-07-29,SMS Campaign,DT005,D02
C00037,Rajshahi,Rajshahi,5.15,Large (>5 acre),Maize,2026-02-15,Facebook Ads,DT001,D01
C00038,Mymensingh,Netrokona,2.05,Medium (2-5 acre),Vegetables,2025-02-17,SMS Campaign,DT015,D04
C00039,Rangpur,Rangpur,0.3,Smallholder (<2 acre),Rice (Boro),2026-03-31,Field Dealer Network,DT005,D02
C00040,Dhaka,Tangail,2.64,Medium (2-5 acre),Wheat,2026-04-22,Facebook Ads,DT019,D05
C00041,Khulna,Jashore,0.43,Smallholder (<2 acre),Wheat,2025-02-27,Field Dealer Network,DT010,D03
C00042,Chattogram,Comilla,1.01,Smallholder (<2 acre),Potato,2026-02-20,Facebook Ads,DT025,D07
C00043,Dhaka,Tangail,1.34,Smallholder (<2 acre),Maize,2025-12-23,SMS Campaign,DT019,D05
C00044,Khulna,Khulna,3.12,Medium (2-5 acre),Mustard,2025-08-08,Direct,DT009,D03
C00045,Chattogram,Cox'S Bazar,1.69,Smallholder (<2 acre),Rice (Boro),2025-06-20,Organic Search,DT024,D07
C00046,Barishal,Bhola,1.84,Smallholder (<2 acre),Potato,2025-10-17,SMS Campaign,DT022,D06
C00047,Khulna,Satkhira,0.37,Smallholder (<2 acre),Maize,2025-07-05,SMS Campaign,DT011,D03
C00048,Rangpur,Dinajpur,3.63,Medium (2-5 acre),Jute,2025-04-11,SMS Campaign,DT006,D02
C00049,Dhaka,Tangail,0.42,Smallholder (<2 acre),Jute,2025-01-12,Field Dealer Network,DT019,D05
C00050,Rajshahi,Pabna,2.9,Medium (2-5 acre),Rice (Boro),2025-08-18,Organic Search,DT003,D01
C00051,Rangpur,Gaibandha,3.37,Medium (2-5 acre),Jute,2025-07-11,Facebook Ads,DT008,D02
C00052,Rajshahi,Pabna,1.18,Smallholder (<2 acre),Maize,2025-09-11,Field Dealer Network,DT003,D01
C00053,Barishal,Patuakhali,7.7,Large (>5 acre),Potato,2026-01-13,Direct,DT021,D06
C00054,Dhaka,Dhaka,2.04,Medium (2-5 acre),Wheat,2025-08-03,Field Dealer Network,DT016,D05
C00055,Dhaka,Dhaka,1.26,Smallholder (<2 acre),Jute,2025-08-19,YouTube,DT016,D05
C00056,Barishal,Barishal,0.2,Smallholder (<2 acre),Maize,2026-02-10,Organic Search,DT020,D06
C00057,Mymensingh,Mymensingh,2.02,Medium (2-5 acre),Maize,2026-04-16,Organic Search,DT013,D04
C00058,Dhaka,Gazipur,3.76,Medium (2-5 acre),Rice (Aman),2025-05-21,Organic Search,DT017,D05
C00059,Rajshahi,Rajshahi,3.95,Medium (2-5 acre),Vegetables,2026-04-25,Field Dealer Network,DT001,D01
C00060,Rajshahi,Natore,1.89,Smallholder (<2 acre),Maize,2025-02-11,Referral/NGO Partner,DT004,D01
C00061,Dhaka,Gazipur,0.45,Smallholder (<2 acre),Wheat,2025-09-10,Field Dealer Network,DT017,D05
C00062,Mymensingh,Jamalpur,0.9,Smallholder (<2 acre),Rice (Aman),2025-02-03,Organic Search,DT014,D04
C00063,Dhaka,Tangail,2.65,Medium (2-5 acre),Mustard,2025-04-30,SMS Campaign,DT019,D05
C00064,Barishal,Bhola,2.32,Medium (2-5 acre),Rice (Boro),2026-03-03,Organic Search,DT022,D06
C00065,Dhaka,Gazipur,1.09,Smallholder (<2 acre),Mustard,2025-11-30,Facebook Ads,DT017,D05
C00066,Mymensingh,Jamalpur,5.49,Large (>5 acre),Vegetables,2025-06-14,Referral/NGO Partner,DT014,D04
C00067,Mymensingh,Netrokona,0.62,Smallholder (<2 acre),Vegetables,2025-03-07,Organic Search,DT015,D04
C00068,Rangpur,Kurigram,1.64,Smallholder (<2 acre),Potato,2025-12-30,Facebook Ads,DT007,D02
C00069,Rajshahi,Bogura,9.42,Large (>5 acre),Maize,2025-08-02,Field Dealer Network,DT002,D01
C00070,Khulna,Bagerhat,0.54,Smallholder (<2 acre),Maize,2025-01-18,Referral/NGO Partner,DT012,D03
C00071,Rangpur,Kurigram,0.51,Smallholder (<2 acre),Wheat,2026-03-26,Referral/NGO Partner,DT007,D02
C00072,Khulna,Satkhira,1.97,Smallholder (<2 acre),Rice (Boro),2025-02-28,YouTube,DT011,D03
C00073,Chattogram,Cox'S Bazar,4.15,Medium (2-5 acre),Vegetables,2025-08-27,Organic Search,DT024,D07
C00074,Rangpur,Dinajpur,0.34,Smallholder (<2 acre),Rice (Aman),2025-07-26,Field Dealer Network,DT006,D02
C00075,Rajshahi,Bogura,0.26,Smallholder (<2 acre),Rice (Aman),2026-01-08,Organic Search,DT002,D01
C00076,Rangpur,Kurigram,1.27,Smallholder (<2 acre),Mustard,2025-02-21,Facebook Ads,DT007,D02
C00077,Rangpur,Dinajpur,1.31,Smallholder (<2 acre),Rice (Aman),2025-11-07,YouTube,DT006,D02
C00078,Dhaka,Dhaka,1.89,Smallholder (<2 acre),Vegetables,2026-04-03,Direct,DT016,D05
C00079,Mymensingh,Netrokona,2.25,Medium (2-5 acre),Wheat,2025-04-19,Field Dealer Network,DT015,D04
C00080,Barishal,Barishal,3.5,Medium (2-5 acre),Mustard,2025-12-30,Referral/NGO Partner,DT020,D06
C00081,Dhaka,Narayanganj,3.16,Medium (2-5 acre),Potato,2026-02-21,SMS Campaign,DT018,D05
C00082,Khulna,Satkhira,3.35,Medium (2-5 acre),Jute,2025-04-19,Direct,DT011,D03
