traffic_id,date,division_id,division_name,channel,device_category,sessions,new_users,total_users,bounce_rate_pct,avg_session_duration_sec,conversions,conversion_rate_pct
1,2025-01-01,D01,Rajshahi,Facebook Ads,Mobile,83,51,79,44.3,72.0,2.0,2.66
2,2025-01-01,D01,Rajshahi,Facebook Ads,Desktop,85,52,82,44.0,98.0,2.0,2.24
3,2025-01-01,D01,Rajshahi,SMS Campaign,Mobile,41,30,39,46.2,84.0,1.0,2.17
4,2025-01-01,D01,Rajshahi,Referral/Ngo Partner,Mobile,34,21,30,50.4,132.0,1.0,2.15
5,2025-01-01,D01,Rajshahi,Facebook Ads,Desktop,27,16,26,41.2,128.0,1.0,2.16
6,2025-01-01,D01,Rajshahi,Referral/Ngo Partner,Desktop,19,11,18,46.8,99.0,0.0,2.28
7,2025-01-01,D01,Rajshahi,Google Ads,Mobile,24,17,23,49.5,94.0,1.0,2.14
8,2025-01-01,D02,Rangpur,Google Ads,Mobile,71,45,64,45.9,112.0,2.0,2.25
9,2025-01-01,D02,Rangpur,Facebook Ads,Mobile,129,97,117,46.2,70.0,3.0,2.0
10,2025-01-01,D02,Rangpur,Facebook Ads,Mobile,40,28,38,45.8,91.0,1.0,2.33
11,2025-01-01,D02,Rangpur,Referral/Ngo Partner,Mobile,25,15,24,50.8,90.0,1.0,2.59
12,2025-01-01,D02,Rangpur,Facebook Ads,Mobile,25,19,23,47.6,88.0,0.0,1.94
13,2025-01-01,D02,Rangpur,Referral/Ngo Partner,Desktop,22,16,19,49.9,60.0,0.0,2.26
14,2025-01-01,D02,Rangpur,Facebook Ads,Desktop,25,17,23,40.2,98.0,1.0,2.39
15,2025-01-01,D03,Khulna,Facebook Ads,Mobile,52,36,45,33.4,145.0,1.0,2.27
16,2025-01-01,D03,Khulna,Organic Search,Mobile,73,55,69,44.6,109.0,1.0,2.03
17,2025-01-01,D03,Khulna,Youtube,Mobile,28,22,26,61.5,151.0,1.0,2.61
18,2025-01-01,D03,Khulna,Direct,Mobile,26,15,22,38.7,103.0,1.0,2.46
19,2025-01-01,D03,Khulna,Direct,Mobile,17,12,16,45.8,55.0,0.0,2.19
20,2025-01-01,D03,Khulna,Direct,Desktop,12,9,10,53.0,63.0,0.0,1.86
21,2025-01-01,D03,Khulna,Google Ads,Desktop,25,15,24,60.5,97.0,0.0,1.84
22,2025-01-01,D04,Mymensingh,Youtube,Mobile,63,46,60,47.9,81.0,1.0,1.93
23,2025-01-01,D04,Mymensingh,Facebook Ads,Mobile,57,39,49,48.8,130.0,1.0,2.05
24,2025-01-01,D04,Mymensingh,Youtube,Mobile,20,14,17,59.5,46.0,0.0,2.07
25,2025-01-01,D04,Mymensingh,SMS Campaign,Mobile,21,15,19,49.1,134.0,0.0,2.24
26,2025-01-01,D04,Mymensingh,Organic Search,Mobile,18,13,17,41.0,107.0,0.0,1.98
27,2025-01-01,D04,Mymensingh,Organic Search,Mobile,16,13,15,45.8,124.0,0.0,1.98
28,2025-01-01,D04,Mymensingh,Google Ads,Mobile,18,13,17,38.0,120.0,0.0,2.07
29,2025-01-01,D05,Dhaka,Facebook Ads,Mobile,81,48,76,51.9,87.0,2.0,1.94
30,2025-01-01,D05,Dhaka,Youtube,Mobile,109,61,97,45.8,101.0,2.0,2.0
31,2025-01-01,D05,Dhaka,SMS Campaign,Mobile,43,24,40,58.3,125.0,1.0,1.72
32,2025-01-01,D05,Dhaka,Youtube,Mobile,29,16,26,53.1,114.0,0.0,1.42
33,2025-01-01,D05,Dhaka,Facebook Ads,Desktop,26,19,23,56.8,102.0,0.0,1.88
34,2025-01-01,D05,Dhaka,Google Ads,Mobile,25,14,22,60.1,122.0,0.0,1.57
35,2025-01-01,D05,Dhaka,Direct,Mobile,26,16,23,52.5,81.0,0.0,1.42
36,2025-01-01,D06,Barishal,Organic Search,Desktop,41,30,38,46.5,113.0,1.0,1.85
37,2025-01-01,D06,Barishal,Organic Search,Mobile,45,26,42,50.4,82.0,1.0,1.78
38,2025-01-01,D06,Barishal,Google Ads,Mobile,25,18,24,60.3,63.0,0.0,1.71
39,2025-01-01,D06,Barishal,Youtube,Mobile,21,12,20,48.5,127.0,0.0,1.67
