order_id,date,customer_id,division_id,division_name,district_name,product_id,device_model,channel,quantity,unit_price_bdt,discount_pct,total_amount_bdt,payment_method
ORD00001,2025-01-01,C01297,D01,Rajshahi,Pabna,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,bKash
ORD00002,2025-01-01,C00818,D04,Mymensingh,Jamalpur,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,bKash
ORD00003,2025-01-01,C01215,D02,Rangpur,Gaibandha,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,Cash on Delivery
ORD00004,2025-01-01,C00237,D04,Mymensingh,Netrokona,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,Rocket
ORD00015,2025-01-02,C01228,D04,Mymensingh,Netrokona,P01,Matir Doctor Lite,FairFarm Website,2,2500,5,4750.0,bKash
ORD00014,2025-01-02,C00980,D02,Rangpur,Dinajpur,P01,Matir Doctor Lite,Field Dealer Network,3,2500,0,7500.0,Cash on Delivery
ORD00013,2025-01-02,C01120,D07,Chattogram,Comilla,P02,Matir Doctor Pro,FairFarm Website,1,4800,0,4800.0,Bank Transfer
ORD00012,2025-01-02,C01062,D05,Dhaka,Narayanganj,P01,Matir Doctor Lite,FairFarm App,3,2500,0,7500.0,Cash on Delivery
ORD00011,2025-01-02,C00811,D01,Rajshahi,Bogura,P01,Matir Doctor Lite,FairFarm App,2,2500,5,4750.0,bKash
ORD00009,2025-01-02,C01090,D04,Mymensingh,Mymensingh,P01,Matir Doctor Lite,FairFarm App,1,2500,5,2375.0,Cash on Delivery
ORD00008,2025-01-02,C00246,D07,Chattogram,Feni,P01,Matir Doctor Lite,Facebook Shop,1,2500,0,2500.0,bKash
ORD00007,2025-01-02,C00218,D01,Rajshahi,Natore,P01,Matir Doctor Lite,FairFarm Website,1,2500,0,2500.0,bKash
ORD00006,2025-01-02,C00201,D06,Barishal,Bhola,P01,Matir Doctor Lite,Field Dealer Network,3,2500,0,7500.0,bKash
ORD00005,2025-01-02,C00710,D04,Mymensingh,Netrokona,P03,Matir Doctor Pro+ (NPK),FairFarm App,2,7900,0,15800.0,bKash
ORD00010,2025-01-02,C00150,D01,Rajshahi,Natore,P01,Matir Doctor Lite,FairFarm App,2,2500,0,5000.0,Nagad
ORD00019,2025-01-03,C00440,D05,Dhaka,Tangail,P02,Matir Doctor Pro,FairFarm App,2,4800,0,9600.0,Cash on Delivery
ORD00018,2025-01-03,C00713,D06,Barishal,Barishal,P03,Matir Doctor Pro+ (NPK),FairFarm App,2,7900,0,15800.0,Rocket
ORD00016,2025-01-03,C01161,D01,Rajshahi,Pabna,P02,Matir Doctor Pro,FairFarm Website,3,4800,0,14400.0,Cash on Delivery
ORD00017,2025-01-03,C00723,D01,Rajshahi,Natore,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,Bank Transfer
ORD00020,2025-01-04,C01332,D04,Mymensingh,Netrokona,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,Cash on Delivery
ORD00021,2025-01-04,C01392,D07,Chattogram,Feni,P02,Matir Doctor Pro,Field Dealer Network,1,4800,0,4800.0,Bank Transfer
ORD00022,2025-01-04,C00985,D01,Rajshahi,Pabna,P02,Matir Doctor Pro,FairFarm Website,1,4800,0,4800.0,bKash
ORD00023,2025-01-04,C00020,D05,Dhaka,Narayanganj,P02,Matir Doctor Pro,FairFarm App,2,4800,0,9600.0,Cash on Delivery
ORD00024,2025-01-04,C01070,D03,Khulna,Satkhira,P02,Matir Doctor Pro,Field Dealer Network,3,4800,0,14400.0,bKash
ORD00025,2025-01-04,C00210,D04,Mymensingh,Mymensingh,P02,Matir Doctor Pro,Facebook Shop,3,4800,0,14400.0,Bank Transfer
ORD00026,2025-01-04,C00796,D03,Khulna,Satkhira,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,bKash
ORD00027,2025-01-04,C00938,D01,Rajshahi,Pabna,P03,Matir Doctor Pro+ (NPK),FairFarm App,2,7900,5,15010.0,Cash on Delivery
ORD00028,2025-01-04,C01313,D05,Dhaka,Gazipur,P03,Matir Doctor Pro+ (NPK),Field Dealer Network,1,7900,0,7900.0,Cash on Delivery
ORD00033,2025-01-05,C00842,D06,Barishal,Bhola,P02,Matir Doctor Pro,Facebook Shop,1,4800,0,4800.0,Nagad
ORD00034,2025-01-05,C00472,D04,Mymensingh,Mymensingh,P03,Matir Doctor Pro+ (NPK),FairFarm App,1,7900,0,7900.0,Bank Transfer
ORD00032,2025-01-05,C00223,D05,Dhaka,Dhaka,P03,Matir Doctor Pro+ (NPK),FairFarm Website,1,7900,0,7900.0,Bank Transfer
ORD00031,2025-01-05,C00172,D04,Mymensingh,Mymensingh,P01,Matir Doctor Lite,Facebook Shop,3,2500,0,7500.0,Nagad
ORD00030,2025-01-05,C00974,D07,Chattogram,Feni,P01,Matir Doctor Lite,FairFarm App,2,2500,0,5000.0,Cash on Delivery
ORD00029,2025-01-05,C01157,D01,Rajshahi,Rajshahi,P01,Matir Doctor Lite,FairFarm Website,1,2500,0,2500.0,bKash
ORD00045,2025-01-06,C01064,D05,Dhaka,Narayanganj,P01,Matir Doctor Lite,FairFarm App,2,2500,0,5000.0,bKash
ORD00044,2025-01-06,C00010,D04,Mymensingh,Netrokona,P02,Matir Doctor Pro,FairFarm Website,2,4800,0,9600.0,bKash
ORD00043,2025-01-06,C00191,D07,Chattogram,Comilla,P01,Matir Doctor Lite,FairFarm Website,1,2500,0,2500.0,Nagad
ORD00042,2025-01-06,C01193,D07,Chattogram,Feni,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,Bank Transfer
ORD00040,2025-01-06,C00195,D01,Rajshahi,Rajshahi,P03,Matir Doctor Pro+ (NPK),Field Dealer Network,2,7900,0,15800.0,Cash on Delivery
ORD00041,2025-01-06,C00579,D07,Chattogram,Chattogram,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,bKash
ORD00038,2025-01-06,C01404,D03,Khulna,Khulna,P02,Matir Doctor Pro,Field Dealer Network,1,4800,0,4800.0,Cash on Delivery
ORD00037,2025-01-06,C00520,D07,Chattogram,Comilla,P01,Matir Doctor Lite,FairFarm Website,1,2500,0,2500.0,bKash
ORD00036,2025-01-06,C00258,D01,Rajshahi,Rajshahi,P01,Matir Doctor Lite,FairFarm App,3,2500,0,7500.0,Cash on Delivery
ORD00035,2025-01-06,C01446,D05,Dhaka,Gazipur,P03,Matir Doctor Pro+ (NPK),FairFarm Website,1,7900,0,7900.0,Cash on Delivery
ORD00039,2025-01-06,C00862,D06,Barishal,Patuakhali,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,Nagad
ORD00053,2025-01-07,C01448,D04,Mymensingh,Jamalpur,P01,Matir Doctor Lite,FairFarm Website,2,2500,0,5000.0,Cash on Delivery
ORD00056,2025-01-07,C00506,D06,Barishal,Barishal,P01,Matir Doctor Lite,FairFarm App,1,2500,0,2500.0,Nagad
ORD00055,2025-01-07,C00820,D02,Rangpur,Dinajpur,P01,Matir Doctor Lite,FairFarm Website,2,2500,0,5000.0,bKash
ORD00054,2025-01-07,C00760,D04,Mymensingh,Jamalpur,P02,Matir Doctor Pro,FairFarm App,1,4800,0,4800.0,Cash on Delivery
ORD00052,2025-01-07,C00909,D02,Rangpur,Gaibandha,P01,Matir Doctor Lite,FairFarm Website,1,2500,0,2500.0,bKash
ORD00047,2025-01-07,C00704,D07,Chattogram,Comilla,P01,Matir Doctor Lite,Facebook Shop,3,2500,0,7500.0,Cash on Delivery
ORD00050,2025-01-07,C00906,D05,Dhaka,Tangail,P01,Matir Doctor Lite,Field Dealer Network,1,2500,0,2500.0,Bank Transfer
ORD00049,2025-01-07,C01464,D03,Khulna,Khulna,P02,Matir Doctor Pro,Field Dealer Network,2,4800,0,9600.0,bKash
ORD00048,2025-01-07,C00304,D04,Mymensingh,Jamalpur,P03,Matir Doctor Pro+ (NPK),FairFarm Website,1,7900,0,7900.0,Nagad
ORD00046,2025-01-07,C01000,D02,Rangpur,Gaibandha,P02,Matir Doctor Pro,FairFarm App,2,4800,0,9600.0,Cash on Delivery
