ticket_id,date,customer_id,division_id,division_name,category,channel,resolution_time_hrs,status,csat_score
TKT00411,2025-01-21,C00956,D07,Chattogram,Sensor Calibration,In-App Chat,23.1,Resolved,2
TKT00627,2025-01-25,C00722,D03,Khulna,Connectivity Issue,Facebook Page,0.5,Resolved,3
TKT01200,2025-02-08,C00842,D06,Barishal,Sensor Calibration,Facebook Page,2.1,Resolved,5
TKT00677,2025-02-09,C00359,D04,Mymensingh,General Inquiry,Field Agent Visit,4.5,Resolved,5
TKT00784,2025-02-15,C00988,D01,Rajshahi,Device Setup,Hotline Call,0.7,Resolved,4
TKT00731,2025-02-19,C01078,D04,Mymensingh,Connectivity Issue,In-App Chat,13.3,Resolved,4
TKT00652,2025-03-04,C00663,D02,Rangpur,Sensor Calibration,Field Agent Visit,2.3,Resolved,3
TKT00913,2025-03-05,C00274,D05,Dhaka,Device Setup,In-App Chat,2.4,Resolved,3
TKT00422,2025-03-05,C01086,D06,Barishal,Device Setup,Facebook Page,21.2,Resolved,4
TKT01107,2025-03-05,C00957,D06,Barishal,Billing & Payment,Facebook Page,2.4,Resolved,4
TKT00624,2025-03-06,C01020,D04,Mymensingh,Device Setup,Facebook Page,9.0,Resolved,4
TKT00045,2025-03-07,C00162,D07,Chattogram,Connectivity Issue,In-App Chat,8.7,Resolved,5
TKT00195,2025-03-10,C01172,D06,Barishal,Billing & Payment,Hotline Call,1.6,Resolved,4
TKT01006,2025-03-12,C01437,D02,Rangpur,Connectivity Issue,Hotline Call,6.2,Resolved,4
TKT00791,2025-03-15,C00407,D02,Rangpur,Device Setup,Field Agent Visit,1.3,Pending,4
TKT01067,2025-03-17,C00409,D01,Rajshahi,Device Setup,Hotline Call,5.7,Resolved,4
TKT00110,2025-03-17,C00889,D02,Rangpur,Connectivity Issue,In-App Chat,25.4,Resolved,3
TKT01169,2025-03-21,C01118,D06,Barishal,Sensor Calibration,Facebook Page,6.6,Resolved,5
TKT00641,2025-04-02,C00294,D01,Rajshahi,App/Website Issue,Hotline Call,2.9,Resolved,4
TKT00900,2025-04-03,C00385,D03,Khulna,Connectivity Issue,Field Agent Visit,13.6,Resolved,1
TKT00760,2025-04-03,C00038,D04,Mymensingh,Sensor Calibration,Field Agent Visit,3.6,Resolved,2
TKT01176,2025-04-05,C00164,D01,Rajshahi,Device Setup,Hotline Call,8.6,Resolved,4
TKT00052,2025-04-09,C00144,D05,Dhaka,Device Setup,Hotline Call,12.2,Resolved,4
TKT00070,2025-04-11,C00154,D04,Mymensingh,Sensor Calibration,In-App Chat,3.1,Resolved,3
TKT00647,2025-04-12,C00091,D01,Rajshahi,General Inquiry,In-App Chat,1.8,Resolved,4
TKT00766,2025-04-12,C00685,D05,Dhaka,App/Website Issue,Hotline Call,4.9,Resolved,4
TKT00573,2025-04-12,C00442,D01,Rajshahi,Sensor Calibration,Field Agent Visit,19.6,Resolved,3
TKT00796,2025-04-17,C01267,D02,Rangpur,Device Setup,Hotline Call,9.1,Resolved,2
TKT00207,2025-04-17,C01034,D07,Chattogram,Connectivity Issue,Hotline Call,15.3,Resolved,3
TKT01080,2025-04-19,C01260,D08,Sylhet,App/Website Issue,In-App Chat,8.7,Resolved,3
TKT00403,2025-04-19,C00294,D01,Rajshahi,App/Website Issue,Hotline Call,6.8,Resolved,2
TKT00608,2025-04-19,C00605,D08,Sylhet,Device Setup,In-App Chat,11.3,Resolved,4
TKT00014,2025-04-21,C00072,D03,Khulna,Connectivity Issue,Hotline Call,18.1,Resolved,4
TKT00493,2025-04-21,C00652,D07,Chattogram,App/Website Issue,Field Agent Visit,13.7,Resolved,1
TKT00226,2025-04-23,C00857,D06,Barishal,Billing & Payment,In-App Chat,1.5,Resolved,4
TKT00640,2025-04-24,C00575,D07,Chattogram,App/Website Issue,Facebook Page,3.4,Resolved,3
TKT00447,2025-04-26,C00198,D07,Chattogram,Sensor Calibration,Hotline Call,7.7,Resolved,4
TKT01065,2025-04-27,C00373,D03,Khulna,Billing & Payment,In-App Chat,0.8,Resolved,4
TKT00372,2025-04-28,C01260,D08,Sylhet,General Inquiry,Hotline Call,0.9,Resolved,4
TKT00428,2025-04-29,C00663,D02,Rangpur,App/Website Issue,In-App Chat,5.0,Resolved,4
TKT00304,2025-04-30,C00373,D03,Khulna,General Inquiry,Field Agent Visit,1.8,Resolved,5
TKT01049,2025-05-01,C00746,D04,Mymensingh,Device Setup,Field Agent Visit,4.9,Resolved,4
TKT00327,2025-05-01,C01086,D06,Barishal,Device Setup,Field Agent Visit,6.4,Resolved,4
TKT01053,2025-05-03,C01368,D01,Rajshahi,Sensor Calibration,Facebook Page,9.9,Resolved,5
TKT00098,2025-05-06,C01287,D03,Khulna,General Inquiry,Hotline Call,1.2,Resolved,4
TKT00140,2025-05-07,C01244,D01,Rajshahi,Device Setup,Hotline Call,2.7,Resolved,4
TKT00672,2025-05-09,C01219,D05,Dhaka,Connectivity Issue,Field Agent Visit,3.5,Resolved,2
TKT00874,2025-05-10,C01210,D03,Khulna,Connectivity Issue,Field Agent Visit,9.5,Escalated,4
TKT01140,2025-05-13,C00353,D05,Dhaka,App/Website Issue,In-App Chat,4.2,Resolved,3
TKT00656,2025-05-14,C01158,D01,Rajshahi,Device Setup,Facebook Page,10.3,Resolved,4
TKT01249,2025-05-16,C00482,D02,Rangpur,App/Website Issue,Field Agent Visit,4.5,Resolved,3
TKT00080,2025-05-17,C00760,D04,Mymensingh,Device Setup,Field Agent Visit,9.0,Escalated,4
TKT01161,2025-05-17,C00616,D06,Barishal,Connectivity Issue,Facebook Page,5.7,Resolved,4
TKT00804,2025-05-18,C00004,D05,Dhaka,Billing & Payment,Field Agent Visit,3.4,Resolved,5
TKT00662,2025-05-21,C00693,D02,Rangpur,Sensor Calibration,Facebook Page,18.7,Escalated,3
TKT00332,2025-05-21,C00422,D01,Rajshahi,App/Website Issue,In-App Chat,6.9,Resolved,5
TKT01017,2025-05-22,C00198,D07,Chattogram,Device Setup,In-App Chat,3.4,Resolved,4
TKT00552,2025-05-24,C01061,D08,Sylhet,Device Setup,In-App Chat,5.7,Resolved,4
TKT00528,2025-05-26,C00249,D03,Khulna,Device Setup,Field Agent Visit,5.3,Resolved,3
TKT01246,2025-05-26,C00846,D07,Chattogram,Billing & Payment,In-App Chat,3.3,Resolved,4
TKT01083,2025-05-27,C00678,D04,Mymensingh,Device Setup,Facebook Page,8.0,Resolved,5
TKT00730,2025-05-28,C00229,D05,Dhaka,Connectivity Issue,In-App Chat,25.1,Resolved,4
TKT00896,2025-05-28,C01349,D03,Khulna,Billing & Payment,In-App Chat,6.5,Resolved,3
TKT00701,2025-05-28,C01394,D01,Rajshahi,App/Website Issue,In-App Chat,8.9,Resolved,4
TKT01088,2025-05-29,C01389,D07,Chattogram,Connectivity Issue,In-App Chat,16.9,Resolved,3
TKT00593,2025-05-29,C00337,D01,Rajshahi,App/Website Issue,Hotline Call,8.7,Resolved,5
TKT00551,2025-06-01,C01305,D07,Chattogram,General Inquiry,Field Agent Visit,5.8,Resolved,3
TKT00670,2025-06-02,C00760,D04,Mymensingh,General Inquiry,In-App Chat,1.3,Resolved,3
TKT00354,2025-06-02,C01159,D03,Khulna,Device Setup,Field Agent Visit,2.4,Resolved,2
TKT01109,2025-06-05,C00586,D05,Dhaka,Sensor Calibration,Hotline Call,7.5,Resolved,3
TKT00468,2025-06-06,C00746,D04,Mymensingh,App/Website Issue,In-App Chat,4.5,Resolved,4
TKT01136,2025-06-07,C00835,D06,Barishal,Device Setup,In-App Chat,7.0,Resolved,4
TKT00740,2025-06-08,C00636,D01,Rajshahi,Connectivity Issue,Field Agent Visit,6.6,Resolved,3
TKT00126,2025-06-11,C00565,D05,Dhaka,Device Setup,Facebook Page,7.7,Resolved,5
TKT00015,2025-06-11,C00514,D02,Rangpur,General Inquiry,Hotline Call,1.3,Resolved,2
TKT00661,2025-06-11,C01266,D06,Barishal,Sensor Calibration,Hotline Call,1.7,Resolved,4
TKT00429,2025-06-12,C00400,D04,Mymensingh,App/Website Issue,Hotline Call,2.7,Resolved,3
